race_id	title	info1	info2	around_dir	around_inout	course_abc
202301020507	3歳以上1勝クラス	['芝右1800m', '天候:晴', '芝:良', '発走:13:20']	['2023年8月26日', '2回札幌5日目', '3歳以上1勝クラス', '指', '定量']			
202301020508	3歳以上1勝クラス	['ダ右1700m', '天候:晴', 'ダート:良', '発走:13:51']	['2023年8月26日', '2回札幌5日目', '3歳以上1勝クラス', '牝', '指', '定量']			
202301020509	ルスツ特別(1勝)	['芝右2600m', '天候:晴', '芝:良', '発走:14:26', '過去のルスツ特別']	['2023年8月26日', '2回札幌5日目', '3歳以上1勝クラス', '混', '指', '定量']			
202301020510	オールスターJ第1戦(2勝)	['芝右1200m', '天候:晴', '芝:良', '発走:15:01', '過去のオールスターJ第1戦']	['2023年8月26日', '2回札幌5日目', '3歳以上2勝クラス', '混', '指', '定量']			
202301020511	オールスターJ第2戦(3勝)	['芝右2000m', '天候:晴', '芝:良', '発走:15:35', '過去のオールスターJ第2戦']	['2023年8月26日', '2回札幌5日目', '3歳以上3勝クラス', '混', '指', '定量']			
202301020512	ニセコ特別(1勝)	['ダ右1700m', '天候:晴', 'ダート:良', '発走:16:15', '過去のニセコ特別']	['2023年8月26日', '2回札幌5日目', '3歳以上1勝クラス', '指', '定量']			
202301020601	2歳未勝利	['芝右1500m', '天候:曇', '芝:良', '発走:10:00']	['2023年8月27日', '2回札幌6日目', '2歳未勝利', '牝', '指', '馬齢']			
202301020602	3歳未勝利	['ダ右1700m', '天候:曇', 'ダート:良', '発走:10:35']	['2023年8月27日', '2回札幌6日目', '3歳未勝利', '指', '馬齢']			
202301020603	3歳未勝利	['ダ右1000m', '天候:曇', 'ダート:良', '発走:11:05']	['2023年8月27日', '2回札幌6日目', '3歳未勝利', '混', '指', '馬齢']			
202301020604	3歳未勝利	['ダ右1700m', '天候:曇', 'ダート:良', '発走:11:35']	['2023年8月27日', '2回札幌6日目', '3歳未勝利', '牝', '指', '馬齢']			
202301020605	2歳新馬	['芝右1800m', '天候:曇', '芝:良', '発走:12:25']	['2023年8月27日', '2回札幌6日目', '2歳新馬', '指', '馬齢']			
202301020606	3歳未勝利	['芝右2000m', '天候:曇', '芝:良', '発走:12:55']	['2023年8月27日', '2回札幌6日目', '3歳未勝利', '指', '馬齢']			
202301020607	3歳以上1勝クラス	['ダ右1000m', '天候:雨', 'ダート:良', '発走:13:25']	['2023年8月27日', '2回札幌6日目', '3歳以上1勝クラス', '混', '指', '定量']			
202301020608	3歳以上1勝クラス	['芝右1500m', '天候:雨', '芝:重', '発走:13:55']	['2023年8月27日', '2回札幌6日目', '3歳以上1勝クラス', '混', '指', '定量']			
202301020609	勝馬投票100周年(1勝)	['芝右1200m', '天候:雨', '芝:重', '発走:14:35', '過去の勝馬投票100周年']	['2023年8月27日', '2回札幌6日目', '3歳以上1勝クラス', '牝', '指', '定量']			
202301020610	オールスターJ第3戦(2勝)	['ダ右1700m', '天候:小雨', 'ダート:重', '発走:15:01', '過去のオールスターJ第3戦']	['2023年8月27日', '2回札幌6日目', '3歳以上2勝クラス', '混', '指', '定量']			
202301020611	第18回キーンランドカップ(GIII)	['芝右1200m', '天候:曇', '芝:重', '発走:15:35', '過去のキーンランドカップ']	['2023年8月27日', '2回札幌6日目', '3歳以上オープン', '国際', '指', '別定']			
